seed,stress_type,stress_rate,comparison,metric,observed_diff,ci95_low,ci95_high,p_value_two_sided
42,missing,0.0,RG-MF minus Prior Fusion,macro-F1,0.03033792231969612,-0.0018173891498870086,0.06630329576625439,0.068
42,missing,0.25,RG-MF minus Prior Fusion,macro-F1,0.030882584533388213,-0.001125145465751578,0.06685513320028016,0.06
42,missing,0.5,RG-MF minus Prior Fusion,macro-F1,0.03068143302104709,-0.0010761088108196995,0.06702409668825515,0.056
42,missing,0.75,RG-MF minus Prior Fusion,macro-F1,0.031247568850911067,-0.0005123771230190656,0.06759470257602906,0.052
42,corruption,0.0,RG-MF minus Prior Fusion,macro-F1,0.03033792231969612,-0.0018173891498870086,0.06630329576625439,0.068
42,corruption,0.25,RG-MF minus Prior Fusion,macro-F1,0.030019674266759222,-0.0017822761188438043,0.0660714010241588,0.072
42,corruption,0.5,RG-MF minus Prior Fusion,macro-F1,0.031127857206882048,-0.00022063239535182453,0.0673445808527962,0.06
42,corruption,0.75,RG-MF minus Prior Fusion,macro-F1,0.03098977547806392,-0.00043653992570154797,0.06684273452436948,0.06
123,missing,0.0,RG-MF minus Prior Fusion,macro-F1,-0.0425937542301279,-0.07797231356246652,-0.0039044565611698646,0.04
123,missing,0.25,RG-MF minus Prior Fusion,macro-F1,-0.0425937542301279,-0.07797231356246652,-0.0039044565611698646,0.04
123,missing,0.5,RG-MF minus Prior Fusion,macro-F1,-0.0428314569297884,-0.07858245509884838,-0.004366949835156153,0.036
123,missing,0.75,RG-MF minus Prior Fusion,macro-F1,-0.042565084142872966,-0.07831216771179805,-0.0041120019221766255,0.036
123,corruption,0.0,RG-MF minus Prior Fusion,macro-F1,-0.0425937542301279,-0.07797231356246652,-0.0039044565611698646,0.04
123,corruption,0.25,RG-MF minus Prior Fusion,macro-F1,-0.0425937542301279,-0.07797231356246652,-0.0039044565611698646,0.04
123,corruption,0.5,RG-MF minus Prior Fusion,macro-F1,-0.042327246314514455,-0.07772972895852116,-0.0036378278526155413,0.04
123,corruption,0.75,RG-MF minus Prior Fusion,macro-F1,-0.043259593720595735,-0.07904121542949324,-0.0045155197324620415,0.032
2025,missing,0.0,RG-MF minus Prior Fusion,macro-F1,0.08417106415103326,0.04928095985945275,0.11874923193272388,0.0
2025,missing,0.25,RG-MF minus Prior Fusion,macro-F1,0.08417106415103326,0.04928095985945275,0.11874923193272388,0.0
2025,missing,0.5,RG-MF minus Prior Fusion,macro-F1,0.08417106415103326,0.04928095985945275,0.11874923193272388,0.0
2025,missing,0.75,RG-MF minus Prior Fusion,macro-F1,0.08504859286709932,0.05024322417037259,0.12036092136058517,0.0
2025,corruption,0.0,RG-MF minus Prior Fusion,macro-F1,0.08417106415103326,0.04928095985945275,0.11874923193272388,0.0
2025,corruption,0.25,RG-MF minus Prior Fusion,macro-F1,0.08491428774693899,0.0503030347668804,0.11931124860153042,0.0
2025,corruption,0.5,RG-MF minus Prior Fusion,macro-F1,0.08703420414852647,0.05234208062116064,0.12153693656406032,0.0
2025,corruption,0.75,RG-MF minus Prior Fusion,macro-F1,0.08492248501157018,0.04935073727449806,0.11973112699428287,0.0
