model,stress_type,stress_rate,f1_macro_mean,f1_macro_std,f1_macro_ci95,accuracy_mean,accuracy_std,n_seeds
Prior Fusion,corruption,0.0,0.6112918912437403,0.0297272646747333,0.03363956675396791,0.6275026486210104,0.015058512201416973,3
Prior Fusion,corruption,0.25,0.6111502327294174,0.03027124760047682,0.03425514138364857,0.6272796831806535,0.015431966639149563,3
Prior Fusion,corruption,0.5,0.6101746775911413,0.03120190223877242,0.03530827624729594,0.6261715799252912,0.01618315342682117,3
Prior Fusion,corruption,0.75,0.6110142253905421,0.030161501345242633,0.03413095180484463,0.626842574039483,0.01635858629663224,3
Prior Fusion,missing,0.0,0.6112918912437403,0.0297272646747333,0.03363956675396791,0.6275026486210104,0.015058512201416973,3
Prior Fusion,missing,0.25,0.6112996511200083,0.029736595380992655,0.033650125442078224,0.6277178412183849,0.01515963192553546,3
Prior Fusion,missing,0.5,0.6114459358573421,0.029855157786438748,0.033784291434010356,0.6283722407500518,0.01564385520832114,3
Prior Fusion,missing,0.75,0.6110646353563483,0.030304317725545125,0.03429256375304479,0.6279252609727775,0.015766353780306327,3
RG-MF,corruption,0.0,0.6352636353239408,0.04945916152844776,0.055968310035791294,0.6544369839391194,0.03394134148691588,3
RG-MF,corruption,0.25,0.6352636353239408,0.04945916152844776,0.055968310035791294,0.6544369839391194,0.03394134148691588,3
RG-MF,corruption,0.5,0.6354529492714394,0.04963329073034396,0.056165355777304846,0.6546521765364941,0.03426890608032447,3
RG-MF,corruption,0.75,0.6352317809802215,0.04943712298982167,0.055943371081622985,0.6544292110961374,0.034282209985082905,3
RG-MF,missing,0.0,0.6352636353239408,0.04945916152844776,0.055968310035791294,0.6544369839391194,0.03394134148691588,3
RG-MF,missing,0.25,0.6354529492714394,0.04963329073034396,0.056165355777304846,0.6546521765364941,0.03426890608032447,3
RG-MF,missing,0.5,0.6354529492714394,0.04963329073034396,0.056165355777304846,0.6546521765364941,0.03426890608032447,3
RG-MF,missing,0.75,0.6356416612147273,0.049808408758863165,0.05636352048147966,0.6548673691338688,0.03459738477221287,3
ViT Image-Only,corruption,0.0,0.6337339464355174,0.01611895872305756,0.018240318909314948,0.6206533883230245,0.009490581728116397,3
ViT Image-Only,corruption,0.25,0.6337339464355174,0.01611895872305756,0.018240318909314948,0.6206533883230245,0.009490581728116397,3
ViT Image-Only,corruption,0.5,0.6337339464355174,0.01611895872305756,0.018240318909314948,0.6206533883230245,0.009490581728116397,3
ViT Image-Only,corruption,0.75,0.6337339464355174,0.01611895872305756,0.018240318909314948,0.6206533883230245,0.009490581728116397,3
ViT Image-Only,missing,0.0,0.6337339464355174,0.01611895872305756,0.018240318909314948,0.6206533883230245,0.009490581728116397,3
ViT Image-Only,missing,0.25,0.6337339464355174,0.01611895872305756,0.018240318909314948,0.6206533883230245,0.009490581728116397,3
ViT Image-Only,missing,0.5,0.6337339464355174,0.01611895872305756,0.018240318909314948,0.6206533883230245,0.009490581728116397,3
ViT Image-Only,missing,0.75,0.6337339464355174,0.01611895872305756,0.018240318909314948,0.6206533883230245,0.009490581728116397,3
